grower_id,state,district,tehsil,territory_id,rep_id,crop,relevant_product,language,device_type,current_crop_stage,stock_status,reference_date,gender,age_bucket,farm_size_bucket,days_to_tillering,days_to_flowering,days_to_harvest,days_since_sowing,in_critical_window,wa_open_rate,wa_click_rate,wa_messages_sent,engagement_score,has_any_engagement,days_since_last_message,product_scan_flag,offline_attended_flag,device_score,grower_farm_size,grower_age,can_receive_whatsapp,can_receive_sms,needs_ivr_or_rep,stock_urgency_score,stock_available,pct_retailers_stocked,rep_coverage_score,rep_campaign_ratio,lang_Bengali,lang_Gujarati,lang_Hindi,lang_Kannada,lang_Marathi,lang_Punjabi,farm_size_bucket,farm_small,farm_medium,farm_large,farm_very_large,wa_ever_opened,wa_ever_clicked
GRW_00001,Rajasthan,Bharatpur,Bharatpur_T023,TER_0070,REP_0070,wheat,Tilt 250 EC,Hindi,smartphone,early_vegetative,healthy,2026-03-20,male,elder,medium,-64.0,-28.0,0.0,139.0,0,0.0,0.0,1.0,0.0,0,12.0,0,0,2,3.54,67,1,1,0,1.0,1,1.0,0.5,0.3384615384615385,False,False,True,False,False,False,medium,False,True,False,False,0.0,0.0
GRW_00002,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T023,TER_0042,REP_0042,wheat,Tilt 250 EC,Hindi,smartphone,early_vegetative,healthy,2026-03-31,male,elder,small,-75.0,-39.0,-11.0,150.0,0,0.0,0.0,1.0,0.0,0,1.0,0,0,2,1.34,71,1,1,0,1.0,1,1.0,0.34615384615384615,0.26666666666666666,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00003,Punjab,Patiala,Patiala_T104,TER_0388,REP_0388,wheat,Tilt 250 EC,Punjabi,smartphone,post_flowering,healthy,2026-03-03,male,senior,small,-47.0,-11.0,17.0,122.0,0,0.0,0.0,1.0,0.0,1,29.0,0,1,2,0.55,52,1,1,0,1.0,1,1.0,0.6307692307692307,0.2804878048780488,False,False,False,False,False,True,small,True,False,False,False,0.0,0.0
GRW_00004,Rajasthan,Jaipur,Jaipur_T007,TER_0020,REP_0020,wheat,Tilt 250 EC,Hindi,smartphone,early_vegetative,out_of_stock,2025-10-28,male,senior,small,79.0,115.0,143.0,-4.0,0,0.0,0.0,1.0,0.0,1,155.0,0,1,2,0.79,65,1,1,0,0.0,0,0.0,0.5615384615384615,0.3150684931506849,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00005,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T124,TER_0372,REP_0372,wheat,Tilt 250 EC,Hindi,smartphone,early_vegetative,out_of_stock,2025-12-08,female,young,small,38.0,74.0,102.0,37.0,0,0.0,0.0,1.0,0.0,0,114.0,0,0,2,1.33,26,1,1,0,0.0,0,0.0,0.2923076923076923,0.39473684210526316,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00006,Maharashtra,Amravati,Amravati_T044,TER_0149,REP_0149,wheat,Tilt 250 EC,Marathi,unknown,post_flowering,healthy,2026-03-01,female,mid,small,-45.0,-9.0,19.0,120.0,0,0.0,0.0,0.0,0.0,1,999.0,0,1,0,1.92,43,0,0,1,1.0,1,1.0,0.46153846153846156,0.35,False,False,False,False,True,False,small,True,False,False,False,0.0,0.0
GRW_00007,Haryana,Sirsa,Sirsa_T082,TER_0247,REP_0247,chickpea,Actara 25 WG,Hindi,keypad,unknown,healthy,2026-03-01,male,elder,small,0.0,0.0,0.0,132.0,0,0.0,0.0,0.0,0.0,0,999.0,0,0,1,0.61,72,0,1,1,1.0,1,1.0,0.5615384615384615,0.4383561643835616,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00008,Gujarat,Ahmedabad,Ahmedabad_T128,TER_0441,REP_0441,wheat,Tilt 250 EC,Gujarati,smartphone,early_vegetative,healthy,2025-10-28,male,mid,small,79.0,115.0,143.0,-4.0,0,0.0,0.0,1.0,0.0,1,155.0,0,1,2,1.64,48,1,1,0,1.0,1,1.0,0.14615384615384616,0.3684210526315789,False,True,False,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00009,Uttar Pradesh,Meerut,Meerut_T018,TER_0063,REP_0063,wheat,Tilt 250 EC,Hindi,smartphone,early_vegetative,healthy,2025-10-06,male,young,small,101.0,137.0,165.0,-26.0,0,0.0,0.0,1.0,0.0,1,177.0,0,1,2,1.64,28,1,1,0,1.0,1,1.0,0.46923076923076923,0.3114754098360656,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00010,Rajasthan,Bharatpur,Bharatpur_T051,TER_0136,REP_0136,mustard,Score 250 EC,Hindi,smartphone,unknown,healthy,2026-01-28,male,young,medium,0.0,-8.0,18.0,105.0,0,1.0,0.0,1.0,0.4,1,63.0,0,1,2,2.41,29,1,1,0,1.0,1,1.0,0.2846153846153846,0.3783783783783784,False,False,True,False,False,False,medium,False,True,False,False,1.0,0.0
GRW_00011,Madhya Pradesh,Ujjain,Ujjain_T091,TER_0252,REP_0252,chickpea,Actara 25 WG,Hindi,smartphone,unknown,healthy,2026-02-09,male,young,small,0.0,0.0,20.0,112.0,0,1.0,0.0,1.0,0.4,1,51.0,0,0,2,1.29,35,1,1,0,1.0,1,1.0,0.6615384615384615,0.26744186046511625,False,False,True,False,False,False,small,True,False,False,False,1.0,0.0
GRW_00012,Madhya Pradesh,Sehore,Sehore_T068,TER_0242,REP_0242,unknown,Tilt 250 EC,Hindi,keypad,unknown,healthy,2026-03-01,male,young,small,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,999.0,0,1,1,1.92,26,0,1,1,1.0,1,1.0,0.6076923076923076,0.379746835443038,False,False,True,False,False,False,small,True,False,False,False,0.0,0.0
GRW_00013,Karnataka,Kalaburagi,Kalaburagi_T016,TER_0052,REP_0052,wheat,Tilt 250 EC,Kannada,smartphone,flowering_approaching,out_of_stock,2026-02-16,male,mid,small,-32.0,4.0,32.0,107.0,1,0.0,0.0,1.0,0.0,1,44.0,0,1,2,1.58,40,1,1,0,0.0,0,0.0,0.7,0.31868131868131866,False,False,False,True,False,False,small,True,False,False,False,0.0,0.0
GRW_00014,Uttar Pradesh,Agra,Agra_T108,TER_0343,REP_0343,wheat,Tilt 250 EC,Hindi,unknown,post_flowering,healthy,2026-03-01,female,mid,medium,-45.0,-9.0,19.0,120.0,0,0.0,0.0,0.0,0.0,1,999.0,0,1,0,2.07,39,0,0,1,1.0,1,1.0,0.5615384615384615,0.3150684931506849,False,False,True,False,False,False,medium,False,True,False,False,0.0,0.0
GRW_00015,Maharashtra,Akola,Akola_T021,TER_0048,REP_0048,safflower,Score 250 EC,Marathi,keypad,unknown,healthy,2026-03-01,female,senior,small,0.0,0.0,-9.0,137.0,0,0.0,0.0,0.0,0.0,1,999.0,0,1,1,1.12,63,0,1,1,1.0,1,1.0,0.43846153846153846,0.3333333333333333,False,False,False,False,True,False,small,True,False,False,False,0.0,0.0
