message_id,grower_id,send_date,crop,relevant_product,state,district,territory_id,prior_open_rate,prior_click_rate,prior_msg_count,scan_before_send,attended_before_send,days_to_flowering,days_to_harvest,days_to_tillering,in_critical_window,device_score,grower_farm_size,grower_age,stock_urgency_score,rep_coverage_score,pct_retailers_stocked,rep_campaign_ratio,label_opened,label_clicked
WAM_RABI25_00001,GRW_00001,2026-03-20,wheat,Tilt 250 EC,Rajasthan,Bharatpur,TER_0070,0.0,0.0,0,0,0,-28.0,0.0,-64.0,0,2,3.54,67,1.0,0.5,1.0,0.3384615384615385,0,0
WAM_RABI25_00002,GRW_00002,2026-03-31,wheat,Tilt 250 EC,Uttar Pradesh,Kanpur Nagar,TER_0042,0.0,0.0,0,0,0,-39.0,-11.0,-75.0,0,2,1.34,71,1.0,0.34615384615384615,1.0,0.26666666666666666,0,0
WAM_RABI25_00003,GRW_00003,2026-03-03,wheat,Tilt 250 EC,Punjab,Patiala,TER_0388,0.0,0.0,0,0,0,-11.0,17.0,-47.0,0,2,0.55,52,1.0,0.6307692307692307,1.0,0.2804878048780488,0,0
WAM_RABI25_00004,GRW_00004,2025-10-28,wheat,Tilt 250 EC,Rajasthan,Jaipur,TER_0020,0.0,0.0,0,0,0,115.0,143.0,79.0,0,2,0.79,65,0.0,0.5615384615384615,0.0,0.3150684931506849,0,0
WAM_RABI25_00005,GRW_00005,2025-12-08,wheat,Tilt 250 EC,Uttar Pradesh,Kanpur Nagar,TER_0372,0.0,0.0,0,0,0,74.0,102.0,38.0,0,2,1.33,26,0.0,0.2923076923076923,0.0,0.39473684210526316,0,0
WAM_RABI25_00006,GRW_00008,2025-10-28,wheat,Tilt 250 EC,Gujarat,Ahmedabad,TER_0441,0.0,0.0,0,0,0,115.0,143.0,79.0,0,2,1.64,48,1.0,0.14615384615384616,1.0,0.3684210526315789,0,0
WAM_RABI25_00007,GRW_00009,2025-10-06,wheat,Tilt 250 EC,Uttar Pradesh,Meerut,TER_0063,0.0,0.0,0,0,0,137.0,165.0,101.0,0,2,1.64,28,1.0,0.46923076923076923,1.0,0.3114754098360656,0,0
WAM_RABI25_00008,GRW_00010,2026-01-28,mustard,Score 250 EC,Rajasthan,Bharatpur,TER_0136,0.0,0.0,0,0,0,-8.0,18.0,0.0,0,2,2.41,29,1.0,0.2846153846153846,1.0,0.3783783783783784,1,0
WAM_RABI25_00009,GRW_00011,2026-02-09,chickpea,Actara 25 WG,Madhya Pradesh,Ujjain,TER_0252,0.0,0.0,0,0,0,0.0,20.0,0.0,0,2,1.29,35,1.0,0.6615384615384615,1.0,0.26744186046511625,1,0
WAM_RABI25_00010,GRW_00013,2026-02-16,wheat,Tilt 250 EC,Karnataka,Kalaburagi,TER_0052,0.0,0.0,0,0,0,4.0,32.0,-32.0,1,2,1.58,40,0.0,0.7,0.0,0.31868131868131866,0,0
