grower_id,state,district,tehsil,language,device_type,grower_age,gender,grower_crop_calendar,product_scan,product_name,product_scan_datetime,grower_farm_size,offline_campaign_attended,campaign_attendance_date,crop,sowing_start,harvest_start,tillering_date,flowering_date,relevant_product,territory_id,rep_id,wa_messages_sent,wa_open_count,wa_click_count,wa_delivered_count,wa_last_sent_date,wa_first_sent_date,wa_ever_opened,wa_ever_clicked,wa_open_rate,wa_click_rate,rep_total_visits,rep_retailer_meetings,rep_grower_meetings,rep_campaigns_conducted,rep_last_visit_date,avg_stock_qty,min_stock_qty,retailers_with_stock,total_retailers,out_of_stock_count,pct_retailers_stocked,stock_status
GRW_00001,Rajasthan,Bharatpur,Bharatpur_T023,Hindi,smartphone,67,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,3.54,0,,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0070,REP_0070,1.0,0.0,0.0,1.0,2026-03-20,2026-03-20,0.0,0.0,0.0,0.0,65,33,10,22,2026-03-27,57.0,57.0,1.0,1.0,0.0,1.0,healthy
GRW_00002,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T023,Hindi,smartphone,71,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.34,0,,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0042,REP_0042,1.0,0.0,0.0,1.0,2026-03-31,2026-03-31,0.0,0.0,0.0,0.0,45,23,10,12,2026-03-08,83.66666666666667,71.0,3.0,3.0,0.0,1.0,healthy
GRW_00003,Punjab,Patiala,Patiala_T104,Punjabi,smartphone,52,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,0.55,1,2026-03-29,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0388,REP_0388,1.0,0.0,0.0,1.0,2026-03-03,2026-03-03,0.0,0.0,0.0,0.0,82,41,18,23,2026-03-29,57.0,53.0,2.0,2.0,0.0,1.0,healthy
GRW_00004,Rajasthan,Jaipur,Jaipur_T007,Hindi,smartphone,65,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,0.79,1,2026-01-31,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0020,REP_0020,1.0,0.0,0.0,1.0,2025-10-28,2025-10-28,0.0,0.0,0.0,0.0,73,30,20,23,2026-03-07,0.0,,,,0.0,0.0,out_of_stock
GRW_00005,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T124,Hindi,smartphone,26,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.33,0,,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0372,REP_0372,1.0,0.0,0.0,1.0,2025-12-08,2025-12-08,0.0,0.0,0.0,0.0,38,14,9,15,2026-03-15,0.0,0.0,0.0,1.0,1.0,0.0,out_of_stock
GRW_00006,Maharashtra,Amravati,Amravati_T044,Marathi,unknown,43,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.92,1,2026-02-19,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0149,REP_0149,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,60,20,19,21,2026-03-22,58.0,6.0,2.0,2.0,0.0,1.0,healthy
GRW_00007,Haryana,Sirsa,Sirsa_T082,Hindi,keypad,72,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",0,,,0.61,0,,chickpea,2025-10-20,2026-03-01,,,Actara 25 WG,TER_0247,REP_0247,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,73,23,18,32,2026-03-22,33.666666666666664,17.0,3.0,3.0,0.0,1.0,healthy
GRW_00008,Gujarat,Ahmedabad,Ahmedabad_T128,Gujarati,smartphone,48,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.64,1,2025-12-23,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0441,REP_0441,1.0,0.0,0.0,1.0,2025-10-28,2025-10-28,0.0,0.0,0.0,0.0,19,8,4,7,2026-03-01,21.0,21.0,1.0,1.0,0.0,1.0,healthy
GRW_00009,Uttar Pradesh,Meerut,Meerut_T018,Hindi,smartphone,28,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",0,,,1.64,1,2025-10-09,wheat,2025-11-01,2026-03-20,2026-01-15,2026-02-20,Tilt 250 EC,TER_0063,REP_0063,1.0,0.0,0.0,1.0,2025-10-06,2025-10-06,0.0,0.0,0.0,0.0,61,22,20,19,2026-02-27,41.8,9.0,5.0,5.0,0.0,1.0,healthy
GRW_00010,Rajasthan,Bharatpur,Bharatpur_T051,Hindi,smartphone,29,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""mustard"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-10""}, ""harvest"": {""start"": ""2026-02-15"", ""end"": ""2026-03-20""}, ""stages"": [{""stage"": ""flowering"", ""approx"": ""2026-01-20""}]}",0,,,2.41,1,2026-02-10,mustard,2025-10-15,2026-02-15,,2026-01-20,Score 250 EC,TER_0136,REP_0136,1.0,1.0,0.0,1.0,2026-01-28,2026-01-28,1.0,0.0,1.0,0.0,37,17,6,14,2026-03-07,77.33333333333333,42.0,3.0,3.0,0.0,1.0,healthy
